variable,importancia
Contract_index,0.2657416870036361
tenure,0.144037798045618
TotalCharges,0.09048708012102992
OnlineSecurity_index,0.08231016877483852
TechSupport_index,0.0791922666468766
InternetService_index,0.07190434642499406
MonthlyCharges,0.07131501959921023
PaymentMethod_index,0.048034484883319246
OnlineBackup_index,0.022322522277800676
StreamingMovies_index,0.01789475153737918
StreamingTV_index,0.016182269829257453
DeviceProtection_index,0.015594473516620043
MultipleLines_index,0.013613097430667923
PaperlessBilling_index,0.01324907173335508
Partner_index,0.011711624459734515
gender_index,0.01103557315165813
Dependents_index,0.010354544270377509
SeniorCitizen,0.010022323861051898
PhoneService_index,0.004996896432574825
